# 형식: 원문|현대어풀이|출전|갈래|난이도
# === 사자소학(四字小學) — 효·부모 (초급, 4자) ===
父生我身|아버지께서 내 몸을 낳으시고|사자소학|한문 산문|초급
母鞠吾身|어머니께서 내 몸을 기르셨다|사자소학|한문 산문|초급
腹以懷我|배로써 나를 품으시고|사자소학|한문 산문|초급
乳以哺我|젖으로써 나를 먹이셨다|사자소학|한문 산문|초급
以衣溫我|옷으로써 나를 따뜻하게 하시고|사자소학|한문 산문|초급
以食飽我|밥으로써 나를 배부르게 하셨다|사자소학|한문 산문|초급
恩高如天|그 은혜 높기가 하늘과 같고|사자소학|한문 산문|초급
德厚似地|그 덕 두텁기가 땅과 같다|사자소학|한문 산문|초급
爲人子者|사람의 자식 된 자가|사자소학|한문 산문|초급
曷不爲孝|어찌 효도하지 않겠는가|사자소학|한문 산문|중급
欲報其德|그 은덕을 갚고자 하나|사자소학|한문 산문|중급
昊天罔極|넓은 하늘처럼 끝이 없다|사자소학|한문 산문|중급
父母呼我|부모께서 나를 부르시면|사자소학|한문 산문|초급
唯而趨之|대답하고 곧 달려가라|사자소학|한문 산문|초급
父母使我|부모께서 나를 부리시면|사자소학|한문 산문|초급
勿逆勿怠|거스르지 말고 게을리하지 말라|사자소학|한문 산문|중급
父母有命|부모께서 명하심이 있거든|사자소학|한문 산문|초급
俯首敬聽|머리를 숙이고 공경히 들으라|사자소학|한문 산문|중급
坐命坐聽|앉으라 명하시면 앉아서 듣고|사자소학|한문 산문|초급
立命立聽|서라 명하시면 서서 들으라|사자소학|한문 산문|초급
父母出入|부모께서 드나드실 때에는|사자소학|한문 산문|초급
每必起立|매번 반드시 일어서라|사자소학|한문 산문|초급
父母衣服|부모의 의복은|사자소학|한문 산문|초급
勿踰勿踐|넘지도 말고 밟지도 말라|사자소학|한문 산문|중급
父母有疾|부모께서 병이 있으시면|사자소학|한문 산문|초급
憂而謀瘳|근심하며 낫게 하기를 꾀하라|사자소학|한문 산문|고급
