# 출사표(出師表) — 제갈량, 삼국시대 촉한. 전문을 의미 단위 문장으로 분할 수록.
# 형식: 원문|현대어풀이|출전|갈래|난이도|작품키
臣亮言|신 제갈량은 아룁니다.|출사표|한문 산문|고급|출사표
先帝創業未半而中道崩殂|선제께서 창업하신 일이 절반도 이루지 못한 채 도중에 돌아가시고|출사표|한문 산문|고급|출사표
今天下三分益州疲弊|지금 천하는 셋으로 나뉘었고 익주는 피폐하니|출사표|한문 산문|고급|출사표
此誠危急存亡之秋也|이는 참으로 위급하여 존망이 걸린 때입니다.|출사표|한문 산문|고급|출사표
然侍衛之臣不懈於內|그러나 모시고 호위하는 신하들이 안에서 게으르지 않고|출사표|한문 산문|고급|출사표
忠志之士忘身於外者|충성스러운 뜻을 지닌 선비들이 밖에서 몸을 잊고 애쓰는 것은|출사표|한문 산문|고급|출사표
蓋追先帝之殊遇欲報之於陛下也|대개 선제의 특별한 대우를 좇아 폐하께 갚으려 하기 때문입니다.|출사표|한문 산문|고급|출사표
誠宜開張聖聽|진실로 마땅히 성스러운 들으심을 활짝 여시어|출사표|한문 산문|고급|출사표
以光先帝遺德恢弘志士之氣|선제께서 남기신 덕을 빛내고 뜻 있는 선비들의 기개를 넓히셔야 합니다.|출사표|한문 산문|고급|출사표
不宜妄自菲薄引喩失義|함부로 스스로를 하찮게 여기거나 비유를 끌어다 의리를 잃으셔서|출사표|한문 산문|고급|출사표
以塞忠諫之路也|충성된 간언의 길을 막으셔서는 안 됩니다.|출사표|한문 산문|고급|출사표
宮中府中俱爲一體|궁중과 부중은 모두 한 몸이니|출사표|한문 산문|고급|출사표
陟罰臧否不宜異同|올리고 벌하며 칭찬하고 비판함에 차이가 있어서는 안 됩니다.|출사표|한문 산문|고급|출사표
若有作姦犯科及爲忠善者|만약 간사한 짓을 하여 법을 어기는 자나 충성되고 착한 일을 하는 자가 있거든|출사표|한문 산문|고급|출사표
宜付有司論其刑賞|마땅히 담당 관리에게 맡겨 그 벌과 상을 논하게 하여|출사표|한문 산문|고급|출사표
以昭陛下平明之理|폐하의 공평하고 밝은 다스림을 드러내셔야 합니다.|출사표|한문 산문|고급|출사표
不宜偏私使內外異法也|사사로이 치우쳐 안과 밖의 법을 다르게 해서는 안 됩니다.|출사표|한문 산문|고급|출사표
親賢臣遠小人|어진 신하를 가까이하고 소인을 멀리한 것|출사표|한문 산문|고급|출사표
此先漢所以興隆也|이것이 전한이 흥성한 까닭입니다.|출사표|한문 산문|고급|출사표
親小人遠賢臣|소인을 가까이하고 어진 신하를 멀리한 것|출사표|한문 산문|고급|출사표
此後漢所以傾頹也|이것이 후한이 기울어 무너진 까닭입니다.|출사표|한문 산문|고급|출사표
臣本布衣躬耕於南陽|신은 본래 베옷 입은 백성으로 남양에서 몸소 밭을 갈며|출사표|한문 산문|고급|출사표
苟全性命於亂世|어지러운 세상에서 구차히 목숨을 보전하고자 하였을 뿐|출사표|한문 산문|고급|출사표
不求聞達於諸侯|제후에게 이름이 알려지기를 구하지 않았습니다.|출사표|한문 산문|고급|출사표
先帝不以臣卑鄙|선제께서는 신을 비천하다 여기지 않으시고|출사표|한문 산문|고급|출사표
猥自枉屈三顧臣於草廬之中|외람되이 스스로 몸을 굽혀 세 번이나 신을 초가집으로 찾아주시어|출사표|한문 산문|고급|출사표
諮臣以當世之事|신에게 당세의 일을 물으셨습니다.|출사표|한문 산문|고급|출사표
由是感激遂許先帝以驅馳|이로 말미암아 감격하여 마침내 선제께 분주히 힘쓸 것을 허락하였습니다.|출사표|한문 산문|고급|출사표
受任於敗軍之際|패전한 즈음에 임무를 받고|출사표|한문 산문|고급|출사표
奉命於危難之間|위태롭고 어려운 사이에 명을 받든 지|출사표|한문 산문|고급|출사표
爾來二十有一年矣|그로부터 어언 스물한 해가 되었습니다.|출사표|한문 산문|고급|출사표
先帝知臣謹愼|선제께서는 신이 삼가고 조심함을 아셨기에|출사표|한문 산문|고급|출사표
故臨崩寄臣以大事也|돌아가시기에 임하여 신에게 큰일을 맡기셨습니다.|출사표|한문 산문|고급|출사표
受命以來夙夜憂歎|명을 받은 이래 이른 아침부터 밤늦도록 근심하고 탄식하며|출사표|한문 산문|고급|출사표
恐託付不效以傷先帝之明|맡기신 일을 이루지 못하여 선제의 밝으심을 손상할까 두려워하였습니다.|출사표|한문 산문|고급|출사표
